hierarchy,store_id,year,week_num,metric,projected_value
Ex Department 1,4,2019,1,traffic,27030.0
Ex Department 1,4,2019,2,traffic,27690.0
Ex Department 1,4,2019,3,traffic,25066.0
Ex Department 1,4,2019,4,traffic,26674.0
Ex Department 1,4,2019,5,traffic,26152.0
Ex Department 1,4,2019,6,traffic,26991.0
Ex Department 1,4,2019,7,traffic,25544.0
Ex Department 1,4,2019,8,traffic,26004.0
Ex Department 1,4,2019,9,traffic,26876.0
Ex Department 1,4,2019,10,traffic,31201.95
Ex Department 1,4,2019,11,traffic,28591.3975
Ex Department 1,4,2019,12,traffic,29430.517375
Ex Department 1,4,2019,13,traffic,29183.74324375
Ex Department 1,4,2019,14,traffic,26051.8804059375
Ex Department 1,4,2019,15,traffic,29651.174426234375
Ex Department 1,4,2019,16,traffic,29179.133147546094
Ex Department 1,4,2019,17,traffic,29304.2898049234
Ex Department 1,4,2019,18,traffic,30258.904295169566
Ex Department 1,4,2019,19,traffic,28414.149509928047
Ex Department 1,4,2019,20,traffic,29514.85698542445
Ex Department 1,4,2019,21,traffic,28285.99983469567
Ex Department 1,4,2019,22,traffic,30332.799826430455
Ex Department 1,4,2019,23,traffic,31907.889817751977
Ex Department 1,4,2019,24,traffic,29458.184308639575
Ex Department 1,4,2019,25,traffic,31643.443524071554
Ex Department 1,4,2019,26,traffic,29980.715700275134
Ex Department 1,4,2019,27,traffic,33315.00148528889
Ex Department 1,4,2019,28,traffic,33309.35155955333
Ex Department 1,4,2019,29,traffic,33812.669137531004
Ex Department 1,4,2019,30,traffic,32232.40259440755
Ex Department 1,4,2019,31,traffic,31561.62522412793
Ex Department 1,4,2019,32,traffic,30355.836610334325
Ex Department 1,4,2019,33,traffic,29250.60257210104
Ex Department 1,4,2019,34,traffic,29706.495538518593
Ex Department 1,4,2019,35,traffic,31993.026295147647
Ex Department 1,4,2019,36,traffic,32207.96888859331
Ex Department 1,4,2019,37,traffic,29414.760675645673
Ex Department 1,4,2019,38,traffic,28290.234219181788
Ex Department 1,4,2019,39,traffic,29273.950715382398
Ex Department 1,4,2019,40,traffic,28805.690775655115
Ex Department 1,4,2019,41,traffic,28667.582465166648
Ex Department 1,4,2019,42,traffic,27558.061596690197
Ex Department 1,4,2019,43,traffic,30274.374685203184
Ex Department 1,4,2019,44,traffic,30632.248928575744
Ex Department 1,4,2019,45,traffic,30005.652159572554
Ex Department 1,4,2019,46,traffic,30273.312591347603
Ex Department 1,4,2019,47,traffic,28051.292435901225
Ex Department 1,4,2019,48,traffic,28981.806983431845
Ex Department 1,4,2019,49,traffic,28870.079754625767
Ex Department 1,4,2019,50,traffic,29067.250285480506
Ex Department 1,4,2019,51,traffic,29705.992670034153
Ex Department 1,4,2019,52,traffic,23805.311042329467
Ex Department 1,7,2019,1,revenue,94167.96
Ex Department 1,7,2019,2,revenue,95797.11000000002
Ex Department 1,7,2019,3,revenue,86483.82
Ex Department 1,7,2019,4,revenue,91567.73999999999
Ex Department 1,7,2019,5,revenue,88349.4
Ex Department 1,7,2019,6,revenue,86892.98999999999
Ex Department 1,7,2019,7,revenue,85518.31
Ex Department 1,7,2019,8,revenue,90336.62999999999
Ex Department 1,7,2019,9,revenue,86708.94
Ex Department 1,7,2019,10,revenue,96009.03149999998
Ex Department 1,7,2019,11,revenue,93010.73157500001
Ex Department 1,7,2019,12,revenue,102473.56665375001
Ex Department 1,7,2019,13,revenue,92278.1229864375
Ex Department 1,7,2019,14,revenue,99133.46363575937
Ex Department 1,7,2019,15,revenue,104391.67081754735
Ex Department 1,7,2019,16,revenue,111565.30085842473
Ex Department 1,7,2019,17,revenue,110640.79140134594
Ex Department 1,7,2019,18,revenue,119546.44897141325
Ex Department 1,7,2019,19,revenue,110107.05991998389
Ex Department 1,7,2019,20,revenue,124300.5679159831
Ex Department 1,7,2019,21,revenue,124895.00981178225
Ex Department 1,7,2019,22,revenue,126259.45130237137
Ex Department 1,7,2019,23,revenue,125144.01386748995
Ex Department 1,7,2019,24,revenue,124607.71906086443
Ex Department 1,7,2019,25,revenue,125154.82551390765
Ex Department 1,7,2019,26,revenue,131201.65978960303
Ex Department 1,7,2019,27,revenue,122639.3837790832
Ex Department 1,7,2019,28,revenue,136275.44246803736
Ex Department 1,7,2019,29,revenue,132476.55759143922
Ex Department 1,7,2019,30,revenue,134660.3114710112
Ex Department 1,7,2019,31,revenue,129195.23046956173
Ex Department 1,7,2019,32,revenue,135667.2269142898
Ex Department 1,7,2019,33,revenue,132793.3929273168
Ex Department 1,7,2019,34,revenue,131137.16492436078
Ex Department 1,7,2019,35,revenue,139707.25898879085
Ex Department 1,7,2019,36,revenue,126845.38739735304
Ex Department 1,7,2019,37,revenue,120610.08272429943
Ex Department 1,7,2019,38,revenue,122050.57479044712
Ex Department 1,7,2019,39,revenue,121131.2530813988
Ex Department 1,7,2019,40,revenue,125202.53323946954
Ex Department 1,7,2019,41,revenue,112164.10000564388
Ex Department 1,7,2019,42,revenue,111772.26551533696
Ex Department 1,7,2019,43,revenue,111104.97622598524
Ex Department 1,7,2019,44,revenue,112081.62384391003
Ex Department 1,7,2019,45,revenue,110533.10308306228
Ex Department 1,7,2019,46,revenue,108694.43646152002
Ex Department 1,7,2019,47,revenue,102742.70579511586
Ex Department 1,7,2019,48,revenue,108538.5838959175
Ex Department 1,7,2019,49,revenue,107120.9494673115
Ex Department 1,7,2019,50,revenue,108683.74406110511
Ex Department 1,7,2019,51,revenue,106258.57669060981
Ex Department 1,7,2019,52,revenue,94203.12850166223
Ex Department 1,7,2019,1,traffic,35094.0
Ex Department 1,7,2019,2,traffic,36638.0
Ex Department 1,7,2019,3,traffic,33683.0
Ex Department 1,7,2019,4,traffic,35824.0
Ex Department 1,7,2019,5,traffic,35564.0
Ex Department 1,7,2019,6,traffic,34866.0
Ex Department 1,7,2019,7,traffic,34831.0
Ex Department 1,7,2019,8,traffic,36697.0
Ex Department 1,7,2019,9,traffic,34912.0
Ex Department 1,7,2019,10,traffic,36852.25
Ex Department 1,7,2019,11,traffic,35709.2125
Ex Department 1,7,2019,12,traffic,39045.273125
Ex Department 1,7,2019,13,traffic,34141.78678125
Ex Department 1,7,2019,14,traffic,35456.6261203125
Ex Department 1,7,2019,15,traffic,36803.50742632813
Ex Department 1,7,2019,16,traffic,38505.08279764453
Ex Department 1,7,2019,17,traffic,37851.23693752676
Ex Department 1,7,2019,18,traffic,41143.89878440309
Ex Department 1,7,2019,19,traffic,37407.793723623254
Ex Department 1,7,2019,20,traffic,42172.93340980441
Ex Department 1,7,2019,21,traffic,42431.380080294635
Ex Department 1,7,2019,22,traffic,43081.14908430936
Ex Department 1,7,2019,23,traffic,42234.056538524834
Ex Department 1,7,2019,24,traffic,41923.65936545107
Ex Department 1,7,2019,25,traffic,41777.79233372363
